entity_id,event_id,risk_score,anomaly_type,explanation,top_contributing_features
USR-000065,EVT-0009601,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (101.202.139.128, 138.20.139.40, 217.168.15.101, 27.173.45.121) made 35 auth attempts against 35 distinct entity_ids within 30 min (32/35 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""101.202.139.128"", ""138.20.139.40"", ""217.168.15.101"", ""27.173.45.121""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 35, ""cluster_total_attempts"": 35, ""cluster_failed_attempts"": 32, ""cluster_failure_rate"": 0.914, ""window_minutes"": 30}"
SVC-000050,EVT-0034459,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000208,EVT-0008261,1.0,credential_stuffing,"credential_stuffing: a cluster of 2 related source_ips (136.48.60.157, 21.203.221.109) made 38 auth attempts against 38 distinct entity_ids within 30 min (35/38 = 92% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""136.48.60.157"", ""21.203.221.109""], ""active_ip_cluster_size"": 2, ""cluster_distinct_entities"": 38, ""cluster_total_attempts"": 38, ""cluster_failed_attempts"": 35, ""cluster_failure_rate"": 0.921, ""window_minutes"": 30}"
USR-000162,EVT-0004763,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000018,EVT-0008689,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (219.247.18.137, 42.44.154.198, 7.65.226.136) made 32 auth attempts against 32 distinct entity_ids within 30 min (29/32 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""219.247.18.137"", ""42.44.154.198"", ""7.65.226.136""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 32, ""cluster_total_attempts"": 32, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.906, ""window_minutes"": 30}"
DEV-000018,EVT-0009556,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (101.202.139.128, 138.20.139.40, 217.168.15.101, 27.173.45.121) made 35 auth attempts against 35 distinct entity_ids within 30 min (32/35 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""101.202.139.128"", ""138.20.139.40"", ""217.168.15.101"", ""27.173.45.121""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 35, ""cluster_total_attempts"": 35, ""cluster_failed_attempts"": 32, ""cluster_failure_rate"": 0.914, ""window_minutes"": 30}"
DEV-000019,EVT-0008699,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (219.247.18.137, 42.44.154.198, 7.65.226.136) made 32 auth attempts against 32 distinct entity_ids within 30 min (29/32 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""219.247.18.137"", ""42.44.154.198"", ""7.65.226.136""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 32, ""cluster_total_attempts"": 32, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.906, ""window_minutes"": 30}"
DEV-000019,EVT-0036416,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000019,EVT-0036417,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000019,EVT-0036418,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000019,EVT-0037246,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000019,EVT-0045433,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (42.208.165.101, 72.101.172.237, 89.209.43.53) made 34 auth attempts against 34 distinct entity_ids within 30 min (31/34 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""42.208.165.101"", ""72.101.172.237"", ""89.209.43.53""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 31, ""cluster_failure_rate"": 0.912, ""window_minutes"": 30}"
DEV-000020,EVT-0009572,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (101.202.139.128, 138.20.139.40, 217.168.15.101, 27.173.45.121) made 35 auth attempts against 35 distinct entity_ids within 30 min (32/35 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""101.202.139.128"", ""138.20.139.40"", ""217.168.15.101"", ""27.173.45.121""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 35, ""cluster_total_attempts"": 35, ""cluster_failed_attempts"": 32, ""cluster_failure_rate"": 0.914, ""window_minutes"": 30}"
USR-000169,EVT-0014123,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000169,EVT-0022763,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000170,EVT-0018668,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000178,EVT-0008094,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000179,EVT-0045451,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (42.208.165.101, 72.101.172.237, 89.209.43.53) made 34 auth attempts against 34 distinct entity_ids within 30 min (31/34 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""42.208.165.101"", ""72.101.172.237"", ""89.209.43.53""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 31, ""cluster_failure_rate"": 0.912, ""window_minutes"": 30}"
DEV-000011,EVT-0007508,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000146,EVT-0045435,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (42.208.165.101, 72.101.172.237, 89.209.43.53) made 34 auth attempts against 34 distinct entity_ids within 30 min (31/34 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""42.208.165.101"", ""72.101.172.237"", ""89.209.43.53""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 31, ""cluster_failure_rate"": 0.912, ""window_minutes"": 30}"
USR-000148,EVT-0017524,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000020,EVT-0021183,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (199.140.254.107, 32.138.171.118, 83.140.166.210) made 22 auth attempts against 22 distinct entity_ids within 30 min (22/22 = 100% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""199.140.254.107"", ""32.138.171.118"", ""83.140.166.210""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 22, ""cluster_total_attempts"": 22, ""cluster_failed_attempts"": 22, ""cluster_failure_rate"": 1.0, ""window_minutes"": 30}"
DEV-000020,EVT-0044954,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (197.82.137.193, 45.74.219.178, 69.178.56.245) made 34 auth attempts against 34 distinct entity_ids within 30 min (29/34 = 85% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""197.82.137.193"", ""45.74.219.178"", ""69.178.56.245""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.853, ""window_minutes"": 30}"
DEV-000021,EVT-0007373,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000021,EVT-0007374,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000021,EVT-0007375,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000021,EVT-0007481,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
DEV-000021,EVT-0016056,1.0,credential_stuffing,"credential_stuffing: a cluster of 2 related source_ips (130.35.111.96, 144.182.80.251) made 31 auth attempts against 31 distinct entity_ids within 30 min (29/31 = 94% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""130.35.111.96"", ""144.182.80.251""], ""active_ip_cluster_size"": 2, ""cluster_distinct_entities"": 31, ""cluster_total_attempts"": 31, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.935, ""window_minutes"": 30}"
DEV-000023,EVT-0044962,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (197.82.137.193, 45.74.219.178, 69.178.56.245) made 34 auth attempts against 34 distinct entity_ids within 30 min (29/34 = 85% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""197.82.137.193"", ""45.74.219.178"", ""69.178.56.245""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.853, ""window_minutes"": 30}"
DEV-000025,EVT-0009581,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (101.202.139.128, 138.20.139.40, 217.168.15.101, 27.173.45.121) made 35 auth attempts against 35 distinct entity_ids within 30 min (32/35 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""101.202.139.128"", ""138.20.139.40"", ""217.168.15.101"", ""27.173.45.121""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 35, ""cluster_total_attempts"": 35, ""cluster_failed_attempts"": 32, ""cluster_failure_rate"": 0.914, ""window_minutes"": 30}"
DEV-000025,EVT-0026510,1.0,brute_force,brute_force: 22 failed auth_result attempts from source_ip=84.90.46.252 within 10 min of this event (threshold=4) + source_ip never seen before for this entity,"{""failed_auth_count_in_window"": 22, ""window_minutes"": 10, ""source_ip"": ""84.90.46.252"", ""source_ip_novel_for_entity"": true}"
DEV-000025,EVT-0032765,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (167.175.108.212, 37.62.112.229, 77.62.183.184) made 18 auth attempts against 18 distinct entity_ids within 30 min (17/18 = 94% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""167.175.108.212"", ""37.62.112.229"", ""77.62.183.184""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 18, ""cluster_total_attempts"": 18, ""cluster_failed_attempts"": 17, ""cluster_failure_rate"": 0.944, ""window_minutes"": 30}"
USR-000152,EVT-0011421,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000155,EVT-0005602,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000159,EVT-0023903,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000003,EVT-0009587,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (101.202.139.128, 138.20.139.40, 217.168.15.101, 27.173.45.121) made 35 auth attempts against 35 distinct entity_ids within 30 min (32/35 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""101.202.139.128"", ""138.20.139.40"", ""217.168.15.101"", ""27.173.45.121""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 35, ""cluster_total_attempts"": 35, ""cluster_failed_attempts"": 32, ""cluster_failure_rate"": 0.914, ""window_minutes"": 30}"
SVC-000003,EVT-0036073,1.0,device_spoofing,"device_spoofing: device_fingerprint changed mid-session -- os=IoT-FW-2.9.4, mac=28:b3:c0:33:f5:73 appears within 5 min of 3 event(s) using this entity's historically consistent fingerprint","{""os"": ""IoT-FW-2.9.4"", ""mac_address"": ""28:b3:c0:33:f5:73"", ""protocol"": ""HTTPS"", ""os_novel_for_entity"": true, ""mac_novel_for_entity"": true, ""mid_session_change"": true, ""window_minutes"": 5, ""n_prior_events_checked"": 151}"
SVC-000003,EVT-0045424,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (42.208.165.101, 72.101.172.237, 89.209.43.53) made 34 auth attempts against 34 distinct entity_ids within 30 min (31/34 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""42.208.165.101"", ""72.101.172.237"", ""89.209.43.53""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 34, ""cluster_total_attempts"": 34, ""cluster_failed_attempts"": 31, ""cluster_failure_rate"": 0.912, ""window_minutes"": 30}"
SVC-000005,EVT-0006106,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000005,EVT-0008667,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (219.247.18.137, 42.44.154.198, 7.65.226.136) made 32 auth attempts against 32 distinct entity_ids within 30 min (29/32 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""219.247.18.137"", ""42.44.154.198"", ""7.65.226.136""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 32, ""cluster_total_attempts"": 32, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 0.906, ""window_minutes"": 30}"
SVC-000006,EVT-0014783,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (200.185.156.94, 219.121.164.109, 94.228.37.11) made 29 auth attempts against 29 distinct entity_ids within 30 min (29/29 = 100% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""200.185.156.94"", ""219.121.164.109"", ""94.228.37.11""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 29, ""cluster_total_attempts"": 29, ""cluster_failed_attempts"": 29, ""cluster_failure_rate"": 1.0, ""window_minutes"": 30}"
SVC-000006,EVT-0021175,1.0,credential_stuffing,"credential_stuffing: a cluster of 3 related source_ips (199.140.254.107, 32.138.171.118, 83.140.166.210) made 22 auth attempts against 22 distinct entity_ids within 30 min (22/22 = 100% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""199.140.254.107"", ""32.138.171.118"", ""83.140.166.210""], ""active_ip_cluster_size"": 3, ""cluster_distinct_entities"": 22, ""cluster_total_attempts"": 22, ""cluster_failed_attempts"": 22, ""cluster_failure_rate"": 1.0, ""window_minutes"": 30}"
SVC-000006,EVT-0041753,1.0,credential_misuse,"credential_misuse: new device_fingerprint (mac=32:98:d3:1b:4d:46) + unusual geo_location (Shanghai, China, outside this entity's typical set) + off-hours login (hour=7, baseline probability=0.002 < 0.03) occurring together + part of a 3-event cluster sharing this device+location within 15 min","{""device_novel_for_entity"": true, ""mac_address"": ""32:98:d3:1b:4d:46"", ""geo_novel_for_entity"": true, ""geo_location"": ""Shanghai, China"", ""off_hours"": true, ""hour"": 7, ""hour_probability_in_baseline"": 0.0023, ""cluster_size_same_device_and_geo"": 3, ""cluster_window_minutes"": 15}"
SVC-000006,EVT-0041756,1.0,credential_misuse,"credential_misuse: new device_fingerprint (mac=32:98:d3:1b:4d:46) + unusual geo_location (Shanghai, China, outside this entity's typical set) + off-hours login (hour=7, baseline probability=0.002 < 0.03) occurring together + part of a 3-event cluster sharing this device+location within 15 min","{""device_novel_for_entity"": true, ""mac_address"": ""32:98:d3:1b:4d:46"", ""geo_novel_for_entity"": true, ""geo_location"": ""Shanghai, China"", ""off_hours"": true, ""hour"": 7, ""hour_probability_in_baseline"": 0.0023, ""cluster_size_same_device_and_geo"": 3, ""cluster_window_minutes"": 15}"
SVC-000006,EVT-0041757,1.0,credential_misuse,"credential_misuse: new device_fingerprint (mac=32:98:d3:1b:4d:46) + unusual geo_location (Shanghai, China, outside this entity's typical set) + off-hours login (hour=7, baseline probability=0.002 < 0.03) occurring together + part of a 3-event cluster sharing this device+location within 15 min","{""device_novel_for_entity"": true, ""mac_address"": ""32:98:d3:1b:4d:46"", ""geo_novel_for_entity"": true, ""geo_location"": ""Shanghai, China"", ""off_hours"": true, ""hour"": 7, ""hour_probability_in_baseline"": 0.0023, ""cluster_size_same_device_and_geo"": 3, ""cluster_window_minutes"": 15}"
USR-000141,EVT-0044785,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000143,EVT-0013410,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000143,EVT-0016652,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000144,EVT-0009329,1.0,impossible_travel,"impossible_travel: geo-velocity of 902 km/h between Warsaw, Poland and Mumbai, India over 6.41h (comparing to the next event for this entity), exceeding the 900 km/h plausibility ceiling + new device fingerprint","{""geo_velocity_kmh"": 902.3, ""distance_km"": 5781.0, ""time_delta_hours"": 6.407, ""compared_to_event"": ""next"", ""other_geo_location"": ""Warsaw, Poland"", ""device_fingerprint_changed"": true}"
USR-000144,EVT-0009564,1.0,credential_stuffing,"credential_stuffing: a cluster of 4 related source_ips (101.202.139.128, 138.20.139.40, 217.168.15.101, 27.173.45.121) made 35 auth attempts against 35 distinct entity_ids within 30 min (32/35 = 91% failed) -- breadth-across-accounts pattern, not a single-entity brute_force","{""active_ip_cluster"": [""101.202.139.128"", ""138.20.139.40"", ""217.168.15.101"", ""27.173.45.121""], ""active_ip_cluster_size"": 4, ""cluster_distinct_entities"": 35, ""cluster_total_attempts"": 35, ""cluster_failed_attempts"": 32, ""cluster_failure_rate"": 0.914, ""window_minutes"": 30}"
USR-000145,EVT-0018853,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
USR-000137,EVT-0008920,1.0,impossible_travel,"impossible_travel: geo-velocity of 1,913 km/h between Moscow, Russia and Tokyo, Japan over 3.91h (comparing to the previous event for this entity), exceeding the 900 km/h plausibility ceiling + new device fingerprint","{""geo_velocity_kmh"": 1912.6, ""distance_km"": 7477.2, ""time_delta_hours"": 3.91, ""compared_to_event"": ""previous"", ""other_geo_location"": ""Moscow, Russia"", ""device_fingerprint_changed"": true}"
USR-000138,EVT-0007683,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000007,EVT-0003866,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000007,EVT-0003868,1.0,unclassified,"flagged by risk_score in the top 1% (risk_score=1.000) but did not match the brute_force, impossible_travel, or lateral_movement rule conditions","{""risk_score"": 1.0, ""score_method"": ""lstm""}"
SVC-000007,EVT-0003872,1.0,lateral_movement,"lateral_movement: accessed 3 resources outside this entity's normal set within 20 min (firmware-update-service -> ticketing-system -> ci-cd-pipeline), escalating toward less common resources (global access frequency 0.053 -> 0.039)","{""novel_resource_chain"": [""firmware-update-service"", ""ticketing-system"", ""ci-cd-pipeline""], ""chain_length"": 3, ""lookback_minutes"": 20, ""global_frequency_first"": 0.0533, ""global_frequency_last"": 0.0391}"
SVC-000007,EVT-0003876,1.0,lateral_movement,"lateral_movement: accessed 4 resources outside this entity's normal set within 20 min (firmware-update-service -> ticketing-system -> ci-cd-pipeline -> payroll-db-prod), escalating toward less common resources (global access frequency 0.053 -> 0.017)","{""novel_resource_chain"": [""firmware-update-service"", ""ticketing-system"", ""ci-cd-pipeline"", ""payroll-db-prod""], ""chain_length"": 4, ""lookback_minutes"": 20, ""global_frequency_first"": 0.0533, ""global_frequency_last"": 0.0173}"
